V2	V(out)	V(n002)
1.390000000000000e+00	4.721666e+00	1.390000e+00
1.400000000000000e+00	4.716625e+00	1.400000e+00
1.410000000000000e+00	4.711514e+00	1.410000e+00
1.420000000000000e+00	4.706335e+00	1.420000e+00
1.430000000000000e+00	4.701085e+00	1.430000e+00
1.440000000000000e+00	4.695764e+00	1.440000e+00
1.450000000000000e+00	4.690370e+00	1.450000e+00
1.460000000000000e+00	4.684903e+00	1.460000e+00
1.470000000000000e+00	4.679361e+00	1.470000e+00
1.480000000000000e+00	4.673744e+00	1.480000e+00
1.490000000000000e+00	4.668049e+00	1.490000e+00
1.500000000000000e+00	4.662277e+00	1.500000e+00
1.510000000000000e+00	4.656426e+00	1.510000e+00
1.520000000000000e+00	4.650495e+00	1.520000e+00
1.530000000000000e+00	4.644482e+00	1.530000e+00
1.540000000000000e+00	4.638386e+00	1.540000e+00
1.550000000000000e+00	4.632207e+00	1.550000e+00
1.560000000000000e+00	4.625942e+00	1.560000e+00
1.570000000000000e+00	4.619590e+00	1.570000e+00
1.580000000000000e+00	4.613150e+00	1.580000e+00
1.590000000000000e+00	4.606620e+00	1.590000e+00
1.600000000000000e+00	4.600000e+00	1.600000e+00
1.610000000000000e+00	4.593287e+00	1.610000e+00
1.620000000000000e+00	4.586479e+00	1.620000e+00
1.630000000000000e+00	4.579576e+00	1.630000e+00
1.640000000000000e+00	4.572576e+00	1.640000e+00
1.650000000000000e+00	4.565476e+00	1.650000e+00
1.660000000000000e+00	4.558275e+00	1.660000e+00
1.670000000000000e+00	4.550972e+00	1.670000e+00
1.680000000000000e+00	4.543564e+00	1.680000e+00
1.690000000000000e+00	4.536050e+00	1.690000e+00
1.700000000000000e+00	4.528427e+00	1.700000e+00
1.710000000000000e+00	4.520694e+00	1.710000e+00
1.720000000000000e+00	4.512848e+00	1.720000e+00
1.730000000000000e+00	4.504887e+00	1.730000e+00
1.740000000000000e+00	4.496809e+00	1.740000e+00
1.750000000000000e+00	4.488613e+00	1.750000e+00
1.760000000000000e+00	4.480294e+00	1.760000e+00
