time	V(a)	V(b)	V(out)	I(V1)
4.725390624999989e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
4.774218749999989e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
4.823046874999989e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
4.871874999999990e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
4.920703124999990e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
4.969531249999990e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
5.018359374999991e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
5.067187499999991e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
5.116015624999991e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
5.164843749999992e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
5.213671874999992e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
5.262499999999993e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
5.311328124999993e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
5.360156249999993e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
5.408984374999994e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
5.457812499999994e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
5.506640624999994e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
5.555468749999995e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
5.604296874999995e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
5.653124999999995e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
5.701953124999996e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
5.750781249999996e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
5.799609374999996e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
5.848437499999997e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
5.897265624999997e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
5.946093749999998e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
5.994921874999998e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
6.043749999999998e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
6.092578124999999e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
6.141406249999999e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
6.190234374999999e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
6.239062500000000e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
6.287890625000000e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
6.336718750000000e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
6.385546875000001e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
6.434375000000001e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
6.483203125000002e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
6.532031250000002e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
6.580859375000002e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
6.629687500000003e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
6.678515625000003e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
6.727343750000003e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
6.776171875000004e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
6.825000000000004e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
6.873828125000004e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
6.922656250000005e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
6.971484375000005e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
7.020312500000005e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
7.069140625000006e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
7.100000000000001e-09	0.000000e+00	5.000000e+00	1.001000e-07	-1.001000e-11
7.148828125000001e-09	0.000000e+00	2.558594e+00	9.839676e-01	-4.066960e-05
7.197656250000001e-09	0.000000e+00	1.171875e-01	4.997256e+00	-1.373491e-07
7.200000000000001e-09	0.000000e+00	0.000000e+00	5.003476e+00	-2.002000e-11
7.237499999999990e-09	0.000000e+00	0.000000e+00	5.000050e+00	-2.002000e-11
7.286328124999991e-09	0.000000e+00	0.000000e+00	5.000001e+00	-2.002000e-11
7.335156249999991e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
7.383984374999991e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
7.432812499999992e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
7.481640624999992e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
7.530468749999992e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
7.579296874999991e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
7.628124999999991e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
7.676953124999990e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
7.725781249999990e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
