Vin	V(vin)	V(vout)
3.240000000000000e+00	3.240000e+00	1.030677e-01
3.250000000000000e+00	3.250000e+00	1.006887e-01
3.260000000000000e+00	3.260000e+00	9.834925e-02
3.270000000000000e+00	3.270000e+00	9.604895e-02
3.280000000000000e+00	3.280000e+00	9.378717e-02
3.290000000000000e+00	3.290000e+00	9.156337e-02
3.300000000000000e+00	3.300000e+00	8.937701e-02
3.310000000000000e+00	3.310000e+00	8.722755e-02
3.320000000000000e+00	3.320000e+00	8.511448e-02
3.330000000000000e+00	3.330000e+00	8.303729e-02
3.340000000000000e+00	3.340000e+00	8.099550e-02
3.350000000000000e+00	3.350000e+00	7.898861e-02
3.360000000000000e+00	3.360000e+00	7.701615e-02
3.370000000000000e+00	3.370000e+00	7.507765e-02
3.380000000000000e+00	3.380000e+00	7.317267e-02
3.390000000000000e+00	3.390000e+00	7.130075e-02
3.400000000000000e+00	3.400000e+00	6.946144e-02
3.410000000000000e+00	3.410000e+00	6.765435e-02
3.420000000000000e+00	3.420000e+00	6.587903e-02
3.430000000000000e+00	3.430000e+00	6.413508e-02
3.440000000000000e+00	3.440000e+00	6.242210e-02
3.450000000000000e+00	3.450000e+00	6.073968e-02
3.460000000000000e+00	3.460000e+00	5.908745e-02
3.470000000000000e+00	3.470000e+00	5.746502e-02
3.480000000000000e+00	3.480000e+00	5.587203e-02
3.490000000000000e+00	3.490000e+00	5.430809e-02
3.500000000000000e+00	3.500000e+00	5.277286e-02
3.510000000000000e+00	3.510000e+00	5.126599e-02
3.520000000000000e+00	3.520000e+00	4.978712e-02
3.530000000000000e+00	3.530000e+00	4.833592e-02
3.540000000000000e+00	3.540000e+00	4.691206e-02
3.550000000000000e+00	3.550000e+00	4.551521e-02
3.560000000000000e+00	3.560000e+00	4.414504e-02
3.570000000000000e+00	3.570000e+00	4.280124e-02
3.580000000000000e+00	3.580000e+00	4.148351e-02
3.590000000000000e+00	3.590000e+00	4.019153e-02
3.600000000000000e+00	3.600000e+00	3.892502e-02
3.610000000000000e+00	3.610000e+00	3.768367e-02
3.620000000000000e+00	3.620000e+00	3.646721e-02
3.630000000000000e+00	3.630000e+00	3.527533e-02
3.640000000000000e+00	3.640000e+00	3.410777e-02
3.650000000000000e+00	3.650000e+00	3.296425e-02
3.660000000000000e+00	3.660000e+00	3.184450e-02
3.670000000000000e+00	3.670000e+00	3.074826e-02
3.680000000000000e+00	3.680000e+00	2.967527e-02
3.690000000000000e+00	3.690000e+00	2.862527e-02
3.700000000000000e+00	3.700000e+00	2.759801e-02
3.710000000000000e+00	3.710000e+00	2.659324e-02
3.720000000000000e+00	3.720000e+00	2.561071e-02
3.730000000000000e+00	3.730000e+00	2.465020e-02
3.740000000000000e+00	3.740000e+00	2.371146e-02
3.750000000000000e+00	3.750000e+00	2.279426e-02
3.760000000000000e+00	3.760000e+00	2.189837e-02
3.770000000000000e+00	3.770000e+00	2.102356e-02
3.780000000000000e+00	3.780000e+00	2.016963e-02
3.790000000000000e+00	3.790000e+00	1.933634e-02
3.800000000000000e+00	3.800000e+00	1.852348e-02
3.810000000000000e+00	3.810000e+00	1.773085e-02
3.820000000000000e+00	3.820000e+00	1.695824e-02
3.830000000000000e+00	3.830000e+00	1.620543e-02
3.840000000000000e+00	3.840000e+00	1.547223e-02
3.850000000000000e+00	3.850000e+00	1.475844e-02
3.860000000000000e+00	3.860000e+00	1.406387e-02
3.870000000000000e+00	3.870000e+00	1.338832e-02
3.880000000000000e+00	3.880000e+00	1.273160e-02
3.890000000000000e+00	3.890000e+00	1.209352e-02
3.900000000000000e+00	3.900000e+00	1.147391e-02
