V2	V(a)	V(out)
2.430000000000000e+00	2.430000e+00	2.228090e+00
2.440000000000000e+00	2.440000e+00	2.175703e+00
2.450000000000000e+00	2.450000e+00	2.126168e+00
2.460000000000000e+00	2.460000e+00	2.079090e+00
2.470000000000000e+00	2.470000e+00	2.034153e+00
2.480000000000000e+00	2.480000e+00	1.991099e+00
2.490000000000000e+00	2.490000e+00	1.949717e+00
2.500000000000000e+00	2.500000e+00	1.909829e+00
2.510000000000000e+00	2.510000e+00	1.871284e+00
2.520000000000000e+00	2.520000e+00	1.833952e+00
2.530000000000000e+00	2.530000e+00	1.797722e+00
2.540000000000000e+00	2.540000e+00	1.762493e+00
2.550000000000000e+00	2.550000e+00	1.728181e+00
2.560000000000000e+00	2.560000e+00	1.694707e+00
2.570000000000000e+00	2.570000e+00	1.662002e+00
2.580000000000000e+00	2.580000e+00	1.630005e+00
2.590000000000000e+00	2.590000e+00	1.598657e+00
2.600000000000000e+00	2.600000e+00	1.567909e+00
2.610000000000000e+00	2.610000e+00	1.537711e+00
2.620000000000000e+00	2.620000e+00	1.508019e+00
2.630000000000000e+00	2.630000e+00	1.478793e+00
2.640000000000000e+00	2.640000e+00	1.449994e+00
2.650000000000000e+00	2.650000e+00	1.421585e+00
2.660000000000000e+00	2.660000e+00	1.393532e+00
2.670000000000000e+00	2.670000e+00	1.365800e+00
2.680000000000000e+00	2.680000e+00	1.338359e+00
2.690000000000000e+00	2.690000e+00	1.311595e+00
2.700000000000000e+00	2.700000e+00	1.285786e+00
2.710000000000000e+00	2.710000e+00	1.260862e+00
2.720000000000000e+00	2.720000e+00	1.236760e+00
2.730000000000000e+00	2.730000e+00	1.213425e+00
2.740000000000000e+00	2.740000e+00	1.190807e+00
2.750000000000000e+00	2.750000e+00	1.168861e+00
2.760000000000000e+00	2.760000e+00	1.147549e+00
2.770000000000000e+00	2.770000e+00	1.126832e+00
2.780000000000000e+00	2.780000e+00	1.106680e+00
2.790000000000000e+00	2.790000e+00	1.087062e+00
2.800000000000000e+00	2.800000e+00	1.067949e+00
2.810000000000000e+00	2.810000e+00	1.049318e+00
2.820000000000000e+00	2.820000e+00	1.031146e+00
2.830000000000000e+00	2.830000e+00	1.013410e+00
2.840000000000000e+00	2.840000e+00	9.960912e-01
2.850000000000000e+00	2.850000e+00	9.791715e-01
2.860000000000000e+00	2.860000e+00	9.626336e-01
2.870000000000000e+00	2.870000e+00	9.464618e-01
2.880000000000000e+00	2.880000e+00	9.306413e-01
2.890000000000000e+00	2.890000e+00	9.151585e-01
2.900000000000000e+00	2.900000e+00	9.000002e-01
2.910000000000000e+00	2.910000e+00	8.851545e-01
2.920000000000000e+00	2.920000e+00	8.706101e-01
2.930000000000000e+00	2.930000e+00	8.563561e-01
2.940000000000000e+00	2.940000e+00	8.423825e-01
2.950000000000000e+00	2.950000e+00	8.286799e-01
2.960000000000000e+00	2.960000e+00	8.152391e-01
2.970000000000000e+00	2.970000e+00	8.020518e-01
2.980000000000000e+00	2.980000e+00	7.891099e-01
2.990000000000000e+00	2.990000e+00	7.764059e-01
3.000000000000000e+00	3.000000e+00	7.639322e-01
3.010000000000000e+00	3.010000e+00	7.516822e-01
3.020000000000000e+00	3.020000e+00	7.396494e-01
3.030000000000000e+00	3.030000e+00	7.278273e-01
3.040000000000000e+00	3.040000e+00	7.162102e-01
3.050000000000000e+00	3.050000e+00	7.047923e-01
3.060000000000000e+00	3.060000e+00	6.935683e-01
3.070000000000000e+00	3.070000e+00	6.825329e-01
3.080000000000000e+00	3.080000e+00	6.716813e-01
3.090000000000000e+00	3.090000e+00	6.610087e-01
3.100000000000000e+00	3.100000e+00	6.505105e-01
3.110000000000000e+00	3.110000e+00	6.401824e-01
3.120000000000000e+00	3.120000e+00	6.300203e-01
3.130000000000000e+00	3.130000e+00	6.200202e-01
3.140000000000000e+00	3.140000e+00	6.101781e-01
3.150000000000000e+00	3.150000e+00	6.004905e-01
3.160000000000000e+00	3.160000e+00	5.909537e-01
3.170000000000000e+00	3.170000e+00	5.815644e-01
3.180000000000000e+00	3.180000e+00	5.723193e-01
3.190000000000000e+00	3.190000e+00	5.632151e-01
3.200000000000000e+00	3.200000e+00	5.542489e-01
3.210000000000000e+00	3.210000e+00	5.454177e-01
3.220000000000000e+00	3.220000e+00	5.367187e-01
3.230000000000000e+00	3.230000e+00	5.281490e-01
3.240000000000000e+00	3.240000e+00	5.197061e-01
3.250000000000000e+00	3.250000e+00	5.113874e-01
3.260000000000000e+00	3.260000e+00	5.031905e-01
3.270000000000000e+00	3.270000e+00	4.951128e-01
3.280000000000000e+00	3.280000e+00	4.871522e-01
3.290000000000000e+00	3.290000e+00	4.793063e-01
3.300000000000000e+00	3.300000e+00	4.715731e-01
3.310000000000000e+00	3.310000e+00	4.639503e-01
3.320000000000000e+00	3.320000e+00	4.564360e-01
3.330000000000000e+00	3.330000e+00	4.490282e-01
3.340000000000000e+00	3.340000e+00	4.417249e-01
3.350000000000000e+00	3.350000e+00	4.345243e-01
3.360000000000000e+00	3.360000e+00	4.274246e-01
3.370000000000000e+00	3.370000e+00	4.204240e-01
3.380000000000000e+00	3.380000e+00	4.135208e-01
3.390000000000000e+00	3.390000e+00	4.067134e-01
3.400000000000000e+00	3.400000e+00	4.000002e-01
3.410000000000000e+00	3.410000e+00	3.933796e-01
3.420000000000000e+00	3.420000e+00	3.868500e-01
3.430000000000000e+00	3.430000e+00	3.804101e-01
3.440000000000000e+00	3.440000e+00	3.740583e-01
3.450000000000000e+00	3.450000e+00	3.677932e-01
3.460000000000000e+00	3.460000e+00	3.616135e-01
3.470000000000000e+00	3.470000e+00	3.555179e-01
3.480000000000000e+00	3.480000e+00	3.495050e-01
3.490000000000000e+00	3.490000e+00	3.435737e-01
3.500000000000000e+00	3.500000e+00	3.377226e-01
3.510000000000000e+00	3.510000e+00	3.319505e-01
3.520000000000000e+00	3.520000e+00	3.262563e-01
3.530000000000000e+00	3.530000e+00	3.206389e-01
3.540000000000000e+00	3.540000e+00	3.150971e-01
3.550000000000000e+00	3.550000e+00	3.096299e-01
3.560000000000000e+00	3.560000e+00	3.042361e-01
3.570000000000000e+00	3.570000e+00	2.989148e-01
3.580000000000000e+00	3.580000e+00	2.936649e-01
3.590000000000000e+00	3.590000e+00	2.884854e-01
3.600000000000000e+00	3.600000e+00	2.833754e-01
3.610000000000000e+00	3.610000e+00	2.783340e-01
